"vendor_id","vendor_address","Geohash","permitType",lastCheckup,"vendorName","vendor_id"
"NA","13215 N US 183 HWY SVRD NB, AUSTIN, TX 78729","9v6mnvup","Mobile Food","04-20-2023","COA - GBJB'S","22225"
"NA","611 TRINITY ST, AUSTIN, TX 78701","9v6kpyhd","Mobile Food","03-16-2024","COA - YALLA BURGERS & WINGS #3","22192", 
"NA","75 RAINEY ST, AUSTIN, TX 78701","9v6kpuku","Mobile Food","06-11-2024","COA - CRISPY CHICKEN RAINEY, THE","23995", 
"NA","6811 N FM 620 RD, AUSTIN, TX 78732","9v6kvq2k","Mobile Food","06-06-2023","COA - POLLO RICO #3","7884", 
"NA","3520 W SLAUGHTER LN, AUSTIN, TX 78749","9v67tqgm","Mobile Food","07-26-2023","COA - PLATINUM FORKS LLC ","638364", 
"(512) 952-8713","4410 E WILLIAM CANNON DR, AUSTIN, TX 78744","9v67xwbv","Mobile Food","03-07-2024","COA - HONDURAS FOOD #3","23605", 
"NA","1108 E 12TH ST AUSTIN, TX 78702 ","9v6s0nux","Mobile Food","04-30-2024","COA - ROLLIN SMOKE ATX BBQ LLC","22270", 
"NA","701 TRINITY ST, AUSTIN, TX 78701","9v6kpyhy","Mobile Food","03-14-2024","COA - ANTOJITOS BRAVOS","22149", 
"NA","705 W 6TH ST AUSTIN, TX 78701 ","9v6kpwkw","Mobile Food","01-18-2024","COA - DE SMASH BURGER","23341", 
"NA","7701 CAMERON RD, AUSTIN, TX 78752","9v6s91dy","Mobile Food","02-01-2024","TAQUERIA LUCERITO","23303", 
"NA","6900 N FM 620 RD, AUSTIN, TX 78732","9v6kvq8h","Mobile Food","02-01-2024","COA - POPS CRAWFISH","23304", 
"NA","5000 BURNET RD, AUSTIN, TX 78756","9v6krzu3","Mobile Food","06-13-2024","COA - BUDARE'S","23983", 
"(512) 299-7557","7814 S 1ST ST, AUSTIN, TX 78745","9v67wwvm","Mobile Food","05-14-2024","COA - ALI'S BBQ","23713", 
"NA","3171 EVA ST AUSTIN, TX 78617 ","9v6ef4mz","Mobile Food","05-09-2023","COA - A BITE OF RUNKEY'S & CATERING LLC","22293", 
"NA","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","05-23-2023","COA - MI SABOR OXAQUENO #3","22349", 
"(737) 703-8142","318 E 5TH ST, AUSTIN, TX 78701","9v6kpvgg","Mobile Food","04-02-2024","COA - BAJA SUR","23677", 
"NA","2901 S CAPITAL OF TEXAS HWY AUSTIN, TX 78746 ","9v6knk4v","Mobile Food","03-30-2024","COA - MAPLE PHO","22916", 
"NA","5313 MANOR RD, AUSTIN, TX 78723","9v6s3h5c","Mobile Food","01-11-2024","COA - BIG HAWK'S GRILL","23252", 
"(512) 560-9746","11331 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc4g7","Mobile Food","05-14-2024","COA - NOON","23910", 
"(832) 292-8250","519 E 7TH ST, AUSTIN, TX 78701","9v6kpvvz","Mobile Food","02-06-2024","COA - SIMPLY WOW FOOD #2","21172", 
"(512) 945-5698","7900 S CONGRESS AVE, AUSTIN, TX 78745","9v67wvgz","Mobile Food","12-14-2023","COA - CASITA DE 5 LLC","23125", 
"NA","1158 LOST CREEK BLVD, AUSTIN, TX 78746","9v6kmchj","Mobile Food","11-14-2023","COA - THAI KRUEFHA","22624", 
"(512) 845-3226","2406 S US 183 HWY SB, AUSTIN, TX 78744","9v6d324j","Mobile Food","03-28-2024","COA - EL GRAN AGAZAJO TACOS","23764", 
"(512) 740-4132","2238 S LAMAR BLVD, AUSTIN, TX 78704","9v6kp47q","Mobile Food","05-21-2024","COA - ZOOMYS","23887", 
"(512) 568-5556","11218 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc4f0","Mobile Food","09-19-2023","COA - TAQUITO AVILES","22884", 
"NA","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","02-24-2024","COA - UNIT SB133","7732", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","02-24-2024","COA - UNIT IRP1 ","733188", 
"(512) 916-4858","2115 S LAMAR BLVD, AUSTIN, TX 78704","9v6kp4mn","Mobile Food","02-27-2023","COA - LORO BAR CART","7630", 
"(737) 263-8069","1803 RUTLAND DR, AUSTIN, TX 78758","9v6sbd16","Mobile Food","02-29-2024","COA - LOS ARCOS TAQUERIA","23531", 
"NA","1511 S CONGRESS AVE, AUSTIN, TX 78704","9v6kpdsf","Mobile Food","01-18-2023","COA - KING OF LOBSTER #2 ","101102", 
"NA","5700 MANCHACA RD, AUSTIN, TX 78745","9v67ykxc","Mobile Food","09-19-2023","COA - EL MARACAIBERO LLC","22784", 
"(302) 752-0746","4700 BURLESON RD, AUSTIN, TX 78744","9v6ebh4e","Mobile Food","08-22-2023","COA - GABBYS TACOS","22824", 
"NA","8704 CROSS PARK DR, AUSTIN, TX 78754","9v6s97bd","Mobile Food","05-17-2023","COA - WILLIAM'S TACO","21479", 
"NA","4101 S 1ST ST, AUSTIN, TX 78745","9v67znq4","Mobile Food","03-14-2024","COA - TAQUERIA M - X","23618", 
"NA","8422 S CONGRESS AVE, AUSTIN, TX 78745","9v67wufu","Mobile Food","03-16-2023","COA - SOCO HALAL","22170", 
"NA","6811 N FM 620 RD, AUSTIN, TX 78732","9v6kvq2k","Mobile Food","07-11-2023","COA - MADERA & GRILL","22584", 
"NA","1901 W ANDERSON LN, AUSTIN, TX 78757","9v6s8jtz","Mobile Food","01-09-2024","COA - TACOS REGIOS DOS AMIGOS","23411", 
"(801) 631-8558","1108 E 12TH ST AUSTIN, TX 78702 ","9v6s0nux","Mobile Food","06-15-2023","COA - CACHITO 512","22418", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","UNIT CP107","8033", 
"NA","3828 N IH 35 SVRD SB AUSTIN, TX 78751 ","9v6s274e","Mobile Food","03-19-2024","COA - MOUSAM SPICE HOUSE #2","23634", 
"(512) 354-0840","10701 MANCHACA RD, AUSTIN, TX 78748","9v67tg4k","Mobile Food","01-18-2024","COA - TACO & TACOS","23346", 
"NA","9318 N IH 35 SVRD SB, AUSTIN, TX 78753","9v6s9n8c","Mobile Food","01-09-2024","COA - TAQUERIA CEIBAS TUZANTIA","23319", 
"NA","3800 DRY CREEK DR , AUSTIN, TX 78731","9v6kx7dx","Mobile Food","01-18-2024","COA - WILD TACO #3","23347", 
"(512) 619-3008","75 RAINEY ST, AUSTIN, TX 78701","9v6kpuku","Mobile Food","04-09-2024","COA - LA SIRENA - LA FANTABULOUS TAQUERIA","22726", 
"(737) 802-0950","9318 N IH 35 SVRD SB, AUSTIN, TX 78753","9v6s9n8c","Mobile Food","10-11-2023","COA - PUPUSERIA LA PERLA DE ORIENTE SAN MIGUEL","21677", 
"(512) 999-6477","1326 ROSEWOOD AVE, AUSTIN, TX 78702","9v6s0nr1","Mobile Food","04-18-2024","COA - B & J'S GOOD EATS","23691", 
"(512) 709-5637","5701 S CONGRESS AVE, AUSTIN, TX 78745","9v67z46s","Mobile Food","07-18-2023","COA - DRAGON FIRE","22569", 
"NA","5029 MANOR RD, AUSTIN, TX 78723","9v6s35d8","Mobile Food","11-28-2023","COA - JORDANIAN FOOD LLC","22646", 
"(512) 619-0475","1601 W BRAKER LN, AUSTIN, TX 78758","9v6sbu09","Mobile Food","05-23-2023","HONDU MEXI","22388", 
"NA","4329 S CONGRESS AVE, AUSTIN, TX 78745","9v67zm17","Mobile Food","04-04-2024","COA - KINGS TACO'S","23790", 
"NA","1606 E 6TH ST, AUSTIN, TX 78702","9v6s0jnp","Mobile Food","07-14-2023","SAI MIRRA LLC","22495", 
"NA","421 E 6TH ST, AUSTIN, TX 78701","9v6kpvug","Mobile Food","03-13-2024","COA - 1ST CHOICE MEDITERRANEAN & MOROCCAN FOOD","22136", 
"(512) 430-8510","4205 MANCHACA RD AUSTIN, TX 78704 ","9v67yz3t","Mobile Food","12-05-2023","COA - TRIPPY TACOS #3","22928", 
"NA","6800 BERKMAN DR , AUSTIN, TX 78723","9v6s2zxu","Mobile Food","10-12-2023","OOB - COA - ELOTERCO","23038", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","UNIT SC 101A","8082", 
"NA","2512 RIO GRANDE ST, AUSTIN, TX 78705","9v6krf0x","Mobile Food","03-13-2024","COA - ESPADAS DE BRAZIL #2","23528", 
"NA","2512 RIO GRANDE ST AUSTIN, TX 78705 ","9v6krf0x","Mobile Food","04-18-2024","NOAM'S GELATO AND BEAN","23823", 
"NA","13301 CENTER LAKE DR, AUSTIN, TX 78753","9v6scx8s","Mobile Food","02-09-2023","TC - SPRING-CHICK FOODS LLC ","388203", 
"(512) 217-3767","6719 N LAMAR BLVD, AUSTIN, TX 78752","9v6s8667","Mobile Food","01-02-2024","ANTOJITOS HONDURENOS EL PROGRESO #1","23329", 
"NA","2307 MANOR RD AUSTIN, TX 78722 ","9v6s23h2","Mobile Food","05-26-2023","COA-PATRIZIS #2 ","483965", 
"(512) 621-2219","4107 S 1ST ST, AUSTIN, TX 78745","9v67znmc","Mobile Food","09-05-2023","COA - EL CORAZON CATRACHO #2 ","624367", 
"NA","4824 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s0epy","Mobile Food","08-15-2023","COA - CENTRAL MACHINE WORKS TRAILER","22685", 
"(512) 359-0005","7800 S 1ST ST, AUSTIN, TX 78745","9v67wxn4","Mobile Food","10-25-2023","COA - CJ'S TACOS #2","23176", 
"NA","2307 KRAMER LN, AUSTIN, TX 78758","9v6sbkw2","Mobile Food","12-19-2023","COA - DOUGHSQUAD","22922", 
"(919) 606-9501","2324 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s07g8","Mobile Food","08-03-2023","COA - MILKY WAY SHAKES","22697", 
"(512) 994-9857","343 S CONGRESS AVE, AUSTIN, TX 78704","9v6kpsph","Mobile Food","02-05-2024","AUSTINMED BREAK","22859", 
"NA","1723 E Oltorf, Austin, TX 78741","9v67zzsu","Mobile Food","10-31-2023","COA - GLORIETA CINCO ESTRELLAS #2","22982", 
"(512) 769-4299","705 TRINITY ST AUSTIN, TX 78701 ","9v6kpyjn","Mobile Food","05-02-2024","COA - YUMMY BURGERS AND MORE","23845", 
"NA","2310 BLISS SPILLAR RD, AUSTIN, TX 78652","9v67mnrc","Mobile Food","01-10-2023","TC - OUI'S","554181", 
"NA","6123 FM 969 RD , AUSTIN, TX 78724","9v6s395u","Mobile Food","07-27-2023","COA - BLANCA'S CATERING","23219", 
"NA","75 RAINEY ST, AUSTIN, TX 78701","9v6kpuku","Mobile Food","04-27-2023","COA - BURRO CHEESE KITCHEN 4","22182", 
"NA","7400 FM 969 RD, AUSTIN, TX 78724","9v6s3btw","Mobile Food","10-17-2023","COA - EL SAZON CATRACHO","22993", 
"NA","1311 S 1ST ST, AUSTIN, TX 78704","9v6kpdcr","Mobile Food","01-29-2024","COA - CONSCIOUS CRAVINGS SOUTH FIRST","21445", 
"NA","1500 S LAMAR BLVD AUSTIN, TX 78704 ","9v6kp761","Mobile Food","11-21-2023","COA - DALIA'S TACOS","22629", 
"NA","1825 SIMOND AVE AUSTIN, TX 78723 ","9v6s2eky","Mobile Food","02-01-2024","COA - TRINY'S FOOD #52","23300", 
"NA","2115 ALLRED DR, AUSTIN, TX 78748","9v67tusj","Mobile Food","06-15-2023","COA - TEXAMI 2 LLC","22419", 
"NA","10302 N LAMAR BLVD, AUSTIN, TX 78753","9v6sbcns","Mobile Food","06-06-2023","COA - LAS FRESAS FRUTERIA","22427", 
"(732) 651-7785","2237 E RIVERSIDE DR, AUSTIN, TX 78741","9v6s00ty","Mobile Food","04-02-2024","COA - TACOS REGIOS AL VAPOR DE AUSTIN #2","23763", 
"NA","1421 E RUNDBERG LN AUSTIN, TX 78753 ","9v6s9m1z","Mobile Food","11-07-2023","COA - EL RINCON DE ANOTJITOS MEXICANOS","23021", 
"NA","2601 W BRAKER LN, AUSTIN, TX 78758","9v6sbk6g","Mobile Food","01-10-2024","OOB - TACOS EL RINCON","22588", 
"NA","517 S LAMAR BLVD, AUSTIN, TX 78704","9v6kpkwe","Mobile Food","04-18-2024","COA - ATX GSC LLC","23826", 
"NA","6710 LOYOLA LN , AUSTIN, TX 78724","9v6s65bd","Mobile Food","07-25-2023","COA - LB'S CATERING #2","22575", 
"NA","601 W 6TH ST, AUSTIN, TX 78701","9v6kpwmt","Mobile Food","01-02-2024","COA - FRESH GYRO HALAL LLC 3","23330", 
"NA","3008 W SLAUGHTER LN, AUSTIN, TX 78748","9v67tw4c","Mobile Food","01-08-2024","COA - TACO BELLA'S","23053", 
"NA","75-1/2 RAINEY ST, AUSTIN, TX 78701","9v6kpukv","Mobile Food","02-08-2024","COA - LITTLE LUCY'S #2","22893", 
"(512) 296-4593","2150 E 7TH ST, AUSTIN, TX 78702","9v6s0mh0","Mobile Food","06-04-2024","COA - TACOS EL PATRON","23955", 
"(512) 423-9960","2406 S US 183 HWY SB, AUSTIN, TX 78744","9v6d324j","Mobile Food","01-26-2023","COA - EL GRAN AGAZAJO TACOS","21916", 
"NA","5500 S 1ST ST, AUSTIN, TX 78745","9v67ygtf","Mobile Food","03-26-2024","COA - PIO PIO TACOS","23687", 
"(512) 939-8056","7801 FM 969 RD, AUSTIN, TX 78725","9v6s600z","Mobile Food","06-08-2023","COA - ANGELITOS TACOS","22469", 
"NA","3307 OAK SPRINGS DR, AUSTIN, TX 78721","9v6s0z55","Mobile Food","01-29-2024","COA - PHO CRAFT","21744", 
"NA","604 E 6TH ST, AUSTIN, TX 78701","9v6kpvy5","Mobile Food","05-28-2024","TACO BOSS","23856", 
"NA","1516 W 5TH ST, AUSTIN, TX 78703","9v6kpr5j","Mobile Food","11-16-2023","COA - JUAN MORE TACO","23093", 
"(512) 670-6543","502 W 30TH ST, AUSTIN, TX 78705","9v6krg6c","Mobile Food","11-21-2023","COA - CEVICHE 7","23118", 
"NA","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","05-21-2024","COA - HABIBI ATX PICNIC","23892", 
"(512) 565-1963","75 RAINEY ST, AUSTIN, TX 78701","9v6kpuku","Mobile Food","11-28-2023","COA - HOMIE FRIES 1","23108", 
"NA","2315 LAKE AUSTIN BLVD AUSTIN, TX 78703 ","9v6kppuj","Mobile Food","10-24-2023","COA - DEEP EDDY CABARET","22863", 
"(737) 932-2712","2005 E OLTORF ST AUSTIN, TX 78741 ","9v6ebp2d","Mobile Food","05-02-2024","COA - EL SUPER TACO III","23849", 
"NA","1210 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpkz5","Mobile Food","04-16-2024","COA - SOSA","23486", 
"NA","1220 S CONGRESS AVE, AUSTIN, TX 78704","9v6kpejh","Mobile Food","10-12-2023","COA - AUSTIN MOTEL WEINER CART","7767", 
"NA","5002 HAMILTON RD AUSTIN, TX 78759 ","9v6kzwwy","Mobile Food","05-02-2024","SEM'S TURKISH CAFE","23198", 
"NA","1/2/3421 N IH 35 SVRD NB, AUSTIN, TX 78722","9v6s21zb","Mobile Food","03-07-2023","COA - PUEBLO VIEJO MEXICAN FOOD #12","22077", 
"(512) 945-8427","201 E 53RD ST, AUSTIN, TX 78751","9v6s2r1s","Mobile Food","04-11-2023","COA - TACOS AND DELI #2","22262", 
"(512) 902-6170","7401 BURNET RD, AUSTIN, TX 78757","9v6kxuzy","Mobile Food","01-23-2024","COA - TRAILA ALVAREZ #2","23239", 
"NA","1600 OHLEN RD, AUSTIN, TX 78758","9v6s8rtv","Mobile Food","09-15-2023","COA - TAQUERIA TUZANTLA","22304", 
"(512) 965-4491","7612 BLUFF SPRINGS RD AUSTIN, TX 78744 ","9v67xjn6","Mobile Food","05-07-2024","COA - BOMB TACOS #","23578", 
"NA","1210 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s0h9g","Mobile Food","10-24-2023","COA - LAS TRANCAS #2 ","424284", 
"NA","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","04-14-2024","COA - CANNONE #6","23506", 
"NA","1800 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm6t","Mobile Food","05-09-2024","COA - HOLLA MODE","23967", 
"NA","11416 N FM 620 RD, AUSTIN, TX 78726","9v6mjzgn","Mobile Food","12-14-2023","OOB - COA - BOMBAY STREET FOOD #2","23101", 
"NA","2421 WEBBERVILLE RD, AUSTIN, TX 78702","9v6s0mnk","Mobile Food","02-06-2024","COA - BOMB TACOS #6","23276", 
"NA","1606 E 6TH ST, AUSTIN, TX 78702","9v6s0jnp","Mobile Food","01-09-2024","COA - JADE'S MEDITERRANEAN GRILL","23255", 
"NA","1311 S 1ST ST, AUSTIN, TX 78704","9v6kpdcr","Mobile Food","08-03-2023","COA - MAKENKA","22698", 
"NA","1016 E 6TH ST, AUSTIN, TX 78702","9v6s0jd1","Mobile Food","03-19-2024","COA - GOLDEN CASTLE","23646", 
"(512) 903-4001","75 RAINEY ST, AUSTIN, TX 78701","9v6kpuku","Mobile Food","04-02-2024","COA - KABABEQUE 3","23709", 
"NA","9113 BROWN LN, AUSTIN, TX 78754","9v6s9kt0","Mobile Food","09-05-2023","COA - BIRRIERIA Y CARNITAS LOPEZ PALMA LLC","22833", 
"NA","11444 MANCHACA RD, AUSTIN, TX 78748","9v67t9r8","Mobile Food","04-16-2024","COA - HUMMUS CUISINE","23828", 
"NA","9414 N LAMAR BLVD, AUSTIN, TX 78753","9v6s8zdx","Mobile Food","01-18-2024","TACOS REGIOS AL VAPOR DE AUSTIN LLC","23249", 
"NA","7800 S 1ST ST, AUSTIN, TX 78745","9v67wxn4","Mobile Food","01-11-2024","COA - HANH'S HOMEMADE LLC","23250", 
"NA","6903 BRODIE LN, AUSTIN, TX 78745","9v67vu69","Mobile Food","05-30-2023","COA - PAPA'S TACOS","22362", 
"NA","4925 CRAIGWOOD DR, AUSTIN, TX 78725","9v6s39n7","Mobile Food","12-14-2023","COA - LA HAWAIIANA INC.","23220", 
"NA","412 CONGRESS AVE, AUSTIN, TX 78701","9v6kpvcm","Mobile Food","08-17-2023","COA - UNCLE CHRIS' HOT DOG CART","7765", 
"NA","10212 MANCHACA RD AUSTIN, TX 78748 ","9v67tuhu","Mobile Food","10-17-2023","COA - FRIED HEAVEN","22673", 
"(512) 660-2918","1725 E RIVERSIDE DR, AUSTIN, TX 78741","9v6s01du","Mobile Food","02-01-2024","COA - TAQUERIA PIEDRA GRANDE # NO.2","23297", 
"(512) 467-6600","10000 LOGISTICS LN, AUSTIN, TX 78719","9v6ec2w2","Mobile Food","09-19-2023","COA - DENADA","22881", 
"NA","4601 SOUTHWEST PKWY Unit 109, AUSTIN, TX 78735","9v6kjbcj","Mobile Food","03-28-2023","COA - ARTESSANO","22048", 
"NA","75 RAINEY ST, AUSTIN, TX 78701","9v6kpuku","Mobile Food","02-29-2024","COA-BURRO CHEESE KITCHEN #3","23384", 
"NA","8024 N IH 35 SVRD SB, AUSTIN, TX 78753","9v6s8gcc","Mobile Food","04-18-2024","COA - SINAI FOOD","23819", 
"NA","2505 WEBBERVILLE RD, AUSTIN, TX 78702","9v6s0mpn","Mobile Food","10-19-2023","COA - DESNUDO COFFEE #2","7793", 
"NA","3526 E 7TH ST, AUSTIN, TX 78702","9v6s0sp8","Mobile Food","02-23-2023","COA - SUNNY'S BACKYARD","22031", 
"NA","720 BRAZOS ST, AUSTIN, TX 78701","9v6kpy7h","Mobile Food","02-06-2024","OOB - COA - SPARKS SPACES ","524024", 
"NA","500 W WILLIAM CANNON DR, AUSTIN, TX 78745","9v67yc4n","Mobile Food","06-11-2024","COA - TACOS Y MAS FE Y GRACIA","23992", 
"NA","2401 WINSTEAD LN AUSTIN, TX 78703 ","9v6kr6th","Mobile Food","12-05-2023","COA - VERACRUZ ALL NATURAL #7","22950", 
"NA","2505 WEBBERVILLE RD, AUSTIN, TX 78702","9v6s0mpn","Mobile Food","09-21-2023","COA - THE DOUGHMINICAN","22905", 
"NA","1637 E RIVERSIDE DR, AUSTIN, TX 78741","9v6s01fe","Mobile Food","08-31-2023","COA - JIVE TURKEY","22618", 
"(512) 436-4363","5903 WELLINGTON DR, AUSTIN, TX 78723","9v6s3n1v","Mobile Food","10-17-2023","COA - MAMAS SOUL KITCHEN","22996", 
"NA","8006 BLUFF SPRINGS RD, AUSTIN, TX 78744","9v67xhw6","Mobile Food","02-16-2023","COA - ABBY'S TACOS & MORE","21995", 
"(512) 550-1759","7700 FM 969 RD AUSTIN, TX 78724 ","9v6s6027","Mobile Food","02-01-2024","COA - TAQUERIA MICHOACAN","23283", 
"NA","137 W ST ELMO RD, AUSTIN, TX 78745","9v67zjnu","Mobile Food","01-02-2024","COA - STREET GRILL LLC","23259", 
"NA","503 E CESAR CHAVEZ ST, AUSTIN, TX 78701","9v6kpv5b","Mobile Food","01-19-2023","COA - DOWNTOWN BURGERS","21786", 
"NA","8704 CROSS PARK DR, AUSTIN, TX 78754","9v6s97bd","Mobile Food","09-11-2023","COA - KE CHERRY FRUIT TRUCK","22198", 
"(512) 207-0090","4901 S 1ST ST, AUSTIN, TX 78745","9v67zh3k","Mobile Food","05-09-2024","COA - LA FLOR","23037", 
"NA","2701 W WILLIAM CANNON DR, AUSTIN, TX 78745","9v67y4uj","Mobile Food","03-07-2024","COA - LIFE CHANGING BIG BERTHA","23494", 
"NA","501 BASTROP HWY NB, AUSTIN, TX 78742","9v6s10gm","Mobile Food","01-09-2024","COA - TAQUERIA LA SABROSITA","21741", 
"NA","10701 MANCHACA RD, AUSTIN, TX 78748","9v67tg4k","Mobile Food","04-04-2024","COA - TEJAS BIRRIA","22028", 
"NA","5303 NUCKOLS CROSSING RD , AUSTIN, TX 78744","9v67zbkt","Mobile Food","05-30-2024","COA - TAQUERIA PELONCITOS #3","23960", 
"NA","9708 ANDERSON MILL RD, AUSTIN, TX 78750","9v6mnwut","Mobile Food","03-26-2024","COA - TAQUERIA LA FAMOSA LLC","23372", 
"NA","5804 S CONGRESS AVE, AUSTIN, TX 78745","9v67z41z","Mobile Food","01-25-2024","COA - EL TAQUITO MORELENSE","23236", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT SB410","8071", 
"NA","10001 METRIC BLVD, AUSTIN, TX 78758","9v6sb6mq","Mobile Food","06-14-2024","COA - CON TODO LLC","23307", 
"NA","2901 S CAPITAL OF TEXAS HWY AUSTIN, TX 78746 ","9v6knk4v","Mobile Food","04-04-2024","COA - GARBO'S GRILL II","23251", 
"(971) 246-4107","6900 N FM 620 RD, AUSTIN, TX 78732","9v6kvq8h","Mobile Food","03-26-2024","COA - POPKIN CARTS LLC","23689", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT SP123","8028", 
"NA","8801 LASSIE GIRL LN, AUSTIN, TX 78724","9v6s6x6n","Mobile Food","08-24-2023","COA - MORALES L TEXMEX FOOD #2","22733", 
"NA","2100 UNIVERSITY AVE AUSTIN, TX 78705 ","9v6krbun","Mobile Food","03-16-2023","COA - WOODBOX LLC, THE","22173", 
"NA","5011 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s0g13","Mobile Food","03-26-2024","COA - JUANITOS TACOS","23674", 
"NA","13422 DESSAU RD, AUSTIN, TX 78660","9v6sfnyc","Mobile Food","04-05-2024","COA - EL POLLO RICO EXPRESS #4","7766", 
"NA","1/2/6302 BURLESON RD, AUSTIN, TX 78744","9v6eb5gw","Mobile Food","10-31-2023","COA - TAQUERIA LUVILEONAS","22490", 
"(512) 945-8472","201 E 53RD ST, AUSTIN, TX 78751","9v6s2r1s","Mobile Food","02-29-2024","COA - TACOS AND DELI","23397", 
"(737) 346-4615","5002 HAMILTON RD AUSTIN, TX 78759 ","9v6kzwwy","Mobile Food","05-02-2024","COA - DAME CAFE LLC","23803", 
"(512) 903-0714","9313 ANDERSON MILL RD AUSTIN, TX 78729 ","9v6mnz7c","Mobile Food","08-29-2023","BIGG BELLY BBQ COMPANY","23192", 
"NA","4204 MANCHACA RD, AUSTIN, TX 78704","9v67yz3p","Mobile Food","07-25-2023","COA - VERACRUZ ALL NATURAL #8","22619", 
"NA","12320 HAROLD GREEN RD AUSTIN, TX 78725 ","9v6efwgy","Mobile Food","01-27-2023","OOB- TC - TACO PALENQUE","5328", 
"NA","2512 RIO GRANDE ST AUSTIN, TX 78705 ","9v6krf0x","Mobile Food","01-18-2024","COA - JP'S PANCAKE COMPANY 2","23246", 
"NA","2601 W BRAKER LN, AUSTIN, TX 78758","9v6sbk6g","Mobile Food","01-10-2024","COA - TAQUERIA LOS REGIOS #2","22387", 
"NA","708 E 6TH ST, AUSTIN, TX 78701","9v6kpvz1","Mobile Food","09-19-2023","COA - TA CHINGON","22783", 
"NA","8704 CROSS PARK DR, AUSTIN, TX 78754","9v6s97bd","Mobile Food","01-25-2024","COA - AGUACHILES Y BOTANAS EL PUNTO LLC","23237", 
"(512) 297-1689","310 E PECAN ST PFLUGERVILLE, TX 78660 ","9v6t4tke","Mobile Food","08-26-2023","COA - KINGS AND QUEENS JAMAICAN CUISINE","22188", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT PP127","8036", 
"(512) 739-7885","4809 S CONGRESS AVE, AUSTIN, TX 78745","9v67zhn4","Mobile Food","08-18-2023","COA - GARZA'S GRUBZ","21157", 
"(512) 574-5210","704 E ST JOHNS AVE, AUSTIN, TX 78752","9v6s8dj6","Mobile Food","03-26-2024","COA - TACOS LA ESMERALDA","23672", 
"(512) 577-4209","5700 MANCHACA RD, AUSTIN, TX 78745","9v67ykxc","Mobile Food","09-12-2023","COA - ANTOJITOS SIN MIEDO A PECAR LLC","22873", 
"NA","10300 ANDERSON MILL RD, AUSTIN, TX 78750","9v6mnquc","Mobile Food","01-09-2024","COA - TAQUERIA LOS JR'S","22938", 
"NA","2901 S CAPITAL OF TEXAS HWY AUSTIN, TX 78746 ","9v6knk4v","Mobile Food","03-30-2024","COA - SWEET SUGAR","7792", 
"NA","71 RAINEY ST, AUSTIN, TX 78701","9v6kpukf","Mobile Food","12-07-2023","COA - TAKAVRON GLOBAL #3","22947", 
"NA","8201 N LAMAR BLVD, AUSTIN, TX 78753","9v6s8t4y","Mobile Food","12-21-2023","COA - HOPE TAQUERIA","22134", 
"(512) 507-0636","720 LAMAR PL AUSTIN, TX 78752 ","9v6s838z","Mobile Food","03-28-2024","COA - TAQUERIA JEFES II","23682", 
"(210) 878-9044","603 W LIVE OAK ST, AUSTIN, TX 78704","9v6kp3yd","Mobile Food","03-21-2024","COA - DESTEFANO'S ITALIAN BISTRO AND MARKET","23633", 
"NA","11416 N FM 620 RD, AUSTIN, TX 78726","9v6mjzgn","Mobile Food","05-23-2024","COA - BOMBAY STREET FOOD #2","23879", 
"NA","8143 MESA DR, AUSTIN, TX 78759","9v6kz92v","Mobile Food","12-19-2023","COA - LA TRAILA #2","22917", 
"(916) 996-3044","2901 S CAPITAL OF TEXAS HWY STE 147 AUSTIN, TX 78746 ","9v6knk4v","Mobile Food","12-16-2023","COA - TWISTED CORK ","878332", 
"NA","979 SPRINGDALE RD , AUSTIN, TX 78702","9v6s0vk1","Mobile Food","09-26-2023","COA - DIPPING SPRINGS TENDER CO","22898", 
"NA","5310 AIRPORT BLVD, AUSTIN, TX 78751","9v6s2qtc","Mobile Food","01-29-2024","COA - MESA TACOS","23130", 
